Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Pot-au-feu,"Tomates, Pommes de terre, Céleri, Pain, Crevettes, Poulet","Tomates, Pommes de terre, Céleri, Pain, Crevettes, Poulet","Gluten, Céleri, Crustacés"
Escargots à l'ail,"Poisson, Crevettes, Arachides, Moutarde","Poisson, Crevettes, Arachides, Moutarde","Moutarde, Arachides, Crustacés, Poisson"
Pot-au-feu,"Sésame, Boeuf haché, Pâtes alimentaires, Poulet, Fromage en grains, Poivrons","Sésame, Boeuf haché, Pâtes alimentaires, Poulet, Fromage en grains, Poivrons","Gluten, Graines de sésame, Lait"
Omelette au fromage,"Carottes, Beurre, Céleri, Chocolat noir, Moutarde, Fromage en grains","Carottes, Beurre, Céleri, Chocolat noir, Moutarde, Fromage en grains","Moutarde, Lait, Céleri"
Salade niçoise,"Poivrons, Boeuf haché, Huile végétale","Poivrons, Boeuf haché, Huile végétale",Aucun
Salade César,"Pâtes alimentaires, Crème fraîche, Escargots, Arachides, Lait, Crevettes","Pâtes alimentaires, Crème fraîche, Escargots, Arachides, Lait, Crevettes","Arachides, Lait, Gluten, Mollusques, Crustacés"
Soupe à l'oignon,"Pain, Boeuf haché, Pâtes alimentaires, Champignons, Noix de cajou, Farine de blé","Pain, Boeuf haché, Pâtes alimentaires, Champignons, Noix de cajou, Farine de blé","Fruits à coque, Gluten"
Spaghetti carbonara,"Céleri, Oignons, Moutarde, Poulet","Céleri, Oignons, Moutarde, Poulet","Moutarde, Céleri"
Chili con carne,"Boeuf haché, Noisettes, Arachides, Moutarde, Fromage en grains","Boeuf haché, Noisettes, Arachides, Moutarde, Fromage en grains","Fruits à coque, Moutarde, Arachides, Lait"
Fondue au fromage,"Poivrons, Arachides, Huile végétale, Farine de blé, Pain","Poivrons, Arachides, Huile végétale, Farine de blé, Pain","Gluten, Arachides"
Escargots à l'ail,"Boeuf haché, Moutarde, Pommes de terre, Poulet, Sésame, Farine de blé","Boeuf haché, Moutarde, Pommes de terre, Poulet, Sésame, Farine de blé","Moutarde, Gluten, Graines de sésame"
Pain doré,"Champignons, Huile végétale, Vanille, Sauce brune, Pain","Champignons, Huile végétale, Vanille, Sauce brune, Pain",Gluten
Crêpes sucrées,"Huile végétale, Beurre, Arachides, Poivrons, Poisson","Huile végétale, Beurre, Arachides, Poivrons, Poisson","Arachides, Lait, Poisson"
Rôti de porc,"Farine de blé, Poulet, Oignons, Crème fraîche, Boeuf haché","Farine de blé, Poulet, Oignons, Crème fraîche, Boeuf haché","Gluten, Lait"
Lasagne bolognaise,"Vanille, Oignons, Sauce soja","Vanille, Oignons, Sauce soja",Soja
Soupe aux pois,"Huile végétale, Lait, Moutarde, Tomates","Huile végétale, Lait, Moutarde, Tomates","Moutarde, Lait"
Crème brûlée,"Sésame, Sauce soja, Noix de cajou, Fromage en grains, Arachides","Sésame, Sauce soja, Noix de cajou, Fromage en grains, Arachides","Fruits à coque, Graines de sésame, Soja, Arachides, Lait"
Soupe à l'oignon,"Oignons, Poivrons, Sauce soja, Moutarde","Oignons, Poivrons, Sauce soja, Moutarde","Moutarde, Soja"
Soupe aux pois,"Oeufs, Champignons, Crème fraîche","Oeufs, Champignons, Crème fraîche","Oeufs, Lait"
Ratatouille,"Sésame, Céleri, Poisson, Moutarde, Crème fraîche","Sésame, Céleri, Poisson, Moutarde, Crème fraîche","Graines de sésame, Céleri, Lait, Poisson, Moutarde"
Escargots à l'ail,"Lait, Huile végétale, Crevettes","Lait, Huile végétale, Crevettes","Lait, Crustacés"
Soupe aux pois,"Pâtes alimentaires, Céleri, Oeufs, Sauce soja, Poisson, Arachides","Pâtes alimentaires, Céleri, Oeufs, Sauce soja, Poisson, Arachides","Oeufs, Céleri, Soja, Arachides, Poisson, Gluten"
Poutine classique,"Poivrons, Noisettes, Pâtes alimentaires","Poivrons, Noisettes, Pâtes alimentaires","Fruits à coque, Gluten"
Spaghetti carbonara,"Boeuf haché, Champignons, Poulet, Oeufs, Pain","Boeuf haché, Champignons, Poulet, Oeufs, Pain","Oeufs, Gluten"
Salade César,"Pâtes alimentaires, Crevettes, Fromage en grains, Sauce soja","Pâtes alimentaires, Crevettes, Fromage en grains, Sauce soja","Gluten, Lait, Soja, Crustacés"
Poulet à la crème,"Oignons, Arachides, Noix de cajou, Chocolat noir","Oignons, Arachides, Noix de cajou, Chocolat noir","Fruits à coque, Arachides"
Saucisses et purée,"Lait, Huile végétale, Oeufs, Carottes","Lait, Huile végétale, Oeufs, Carottes","Oeufs, Lait"
Spaghetti carbonara,"Carottes, Poisson, Champignons, Tomates, Crème fraîche, Boeuf haché","Carottes, Poisson, Champignons, Tomates, Crème fraîche, Boeuf haché","Lait, Poisson"
Gâteau au chocolat,"Oignons, Farine de blé, Noisettes, Chocolat noir, Pommes de terre, Poisson","Oignons, Farine de blé, Noisettes, Chocolat noir, Pommes de terre, Poisson","Fruits à coque, Gluten, Poisson"
Fondue au fromage,"Noisettes, Beurre, Oignons, Lait, Moutarde","Noisettes, Beurre, Oignons, Lait, Moutarde","Fruits à coque, Moutarde, Lait"
Raclette,"Lait, Céleri, Boeuf haché","Lait, Céleri, Boeuf haché","Lait, Céleri"
Poulet rôti,"Vanille, Tomates, Escargots, Beurre","Vanille, Tomates, Escargots, Beurre","Lait, Mollusques"
Filet de saumon,"Sésame, Fromage en grains, Escargots, Champignons, Crevettes, Pommes de terre","Sésame, Fromage en grains, Escargots, Champignons, Crevettes, Pommes de terre","Graines de sésame, Lait, Mollusques, Crustacés"
Soupe aux pois,"Crème fraîche, Arachides, Pommes de terre","Crème fraîche, Arachides, Pommes de terre","Arachides, Lait"
Profiteroles,"Champignons, Sauce brune, Noix de cajou, Tomates","Champignons, Sauce brune, Noix de cajou, Tomates","Fruits à coque, Gluten"
Fèves au lard,"Sésame, Crème fraîche, Champignons, Noix de cajou","Sésame, Crème fraîche, Champignons, Noix de cajou","Fruits à coque, Graines de sésame, Lait"
Crème brûlée,"Oeufs, Sauce soja, Farine de blé, Chocolat noir","Oeufs, Sauce soja, Farine de blé, Chocolat noir","Oeufs, Gluten, Soja"
Profiteroles,"Lait, Sauce soja, Oignons","Lait, Sauce soja, Oignons","Lait, Soja"
Poulet à la crème,"Crevettes, Sésame, Oignons, Carottes, Boeuf haché","Crevettes, Sésame, Oignons, Carottes, Boeuf haché","Graines de sésame, Crustacés"
Fèves au lard,"Boeuf haché, Farine de blé, Poivrons","Boeuf haché, Farine de blé, Poivrons",Gluten
Crêpes sucrées,"Sauce soja, Champignons, Poisson","Sauce soja, Champignons, Poisson","Poisson, Soja"
Poutine classique,"Escargots, Tomates, Sauce soja, Noisettes, Boeuf haché","Escargots, Tomates, Sauce soja, Noisettes, Boeuf haché","Fruits à coque, Mollusques, Soja"
Pot-au-feu,"Moutarde, Crème fraîche, Noisettes, Poivrons","Moutarde, Crème fraîche, Noisettes, Poivrons","Moutarde, Lait, Fruits à coque"
Fèves au lard,"Poivrons, Beurre, Arachides, Huile végétale, Oeufs, Poisson","Poivrons, Beurre, Arachides, Huile végétale, Oeufs, Poisson","Oeufs, Arachides, Lait, Poisson"
Ratatouille,"Noix de cajou, Crème fraîche, Sauce brune, Sauce soja, Lait","Noix de cajou, Crème fraîche, Sauce brune, Sauce soja, Lait","Fruits à coque, Gluten, Lait, Soja"
Poulet rôti,"Huile végétale, Crevettes, Carottes, Noisettes","Huile végétale, Crevettes, Carottes, Noisettes","Fruits à coque, Crustacés"
Pot-au-feu,"Sauce soja, Céleri, Poisson, Lait, Sésame","Sauce soja, Céleri, Poisson, Lait, Sésame","Graines de sésame, Céleri, Soja, Lait, Poisson"
Raclette,"Poivrons, Farine de blé, Fromage en grains, Poisson, Carottes, Poulet","Poivrons, Farine de blé, Fromage en grains, Poisson, Carottes, Poulet","Gluten, Lait, Poisson"
Spaghetti carbonara,"Huile végétale, Arachides, Sauce brune, Céleri, Oignons","Huile végétale, Arachides, Sauce brune, Céleri, Oignons","Gluten, Arachides, Céleri"
Fondue au fromage,"Crème fraîche, Carottes, Tomates, Boeuf haché, Noisettes, Noix de cajou","Crème fraîche, Carottes, Tomates, Boeuf haché, Noisettes, Noix de cajou","Fruits à coque, Lait"
Ratatouille,"Escargots, Pain, Carottes","Escargots, Pain, Carottes","Gluten, Mollusques"
Gâteau au chocolat,"Beurre, Poulet, Huile végétale, Pain, Noix de cajou, Chocolat noir","Beurre, Poulet, Huile végétale, Pain, Noix de cajou, Chocolat noir","Fruits à coque, Gluten, Lait"
Filet de saumon,"Noix de cajou, Crevettes, Tomates, Sauce soja, Céleri","Noix de cajou, Crevettes, Tomates, Sauce soja, Céleri","Fruits à coque, Soja, Céleri, Crustacés"
Poutine classique,"Oeufs, Crème fraîche, Crevettes, Pain, Champignons","Oeufs, Crème fraîche, Crevettes, Pain, Champignons","Oeufs, Gluten, Lait, Crustacés"
Gâteau au chocolat,"Pâtes alimentaires, Moutarde, Noix de cajou","Pâtes alimentaires, Moutarde, Noix de cajou","Moutarde, Gluten, Fruits à coque"
Fondue au fromage,"Farine de blé, Tomates, Beurre","Farine de blé, Tomates, Beurre","Gluten, Lait"
Crème brûlée,"Escargots, Vanille, Poivrons, Sauce soja, Pâtes alimentaires","Escargots, Vanille, Poivrons, Sauce soja, Pâtes alimentaires","Gluten, Mollusques, Soja"
Soupe à l'oignon,"Sésame, Boeuf haché, Lait, Poulet","Sésame, Boeuf haché, Lait, Poulet","Graines de sésame, Lait"
Pâté chinois,"Pommes de terre, Beurre, Sauce soja, Farine de blé","Pommes de terre, Beurre, Sauce soja, Farine de blé","Gluten, Lait, Soja"
Escargots à l'ail,"Moutarde, Sauce brune, Noisettes, Oignons","Moutarde, Sauce brune, Noisettes, Oignons","Moutarde, Gluten, Fruits à coque"
Escargots à l'ail,"Noisettes, Huile végétale, Carottes, Beurre, Champignons","Noisettes, Huile végétale, Carottes, Beurre, Champignons","Fruits à coque, Lait"
Boeuf stroganoff,"Carottes, Crème fraîche, Arachides","Carottes, Crème fraîche, Arachides","Arachides, Lait"
Fondue au fromage,"Pommes de terre, Pain, Sésame","Pommes de terre, Pain, Sésame","Gluten, Graines de sésame"
Pain doré,"Lait, Poivrons, Crème fraîche, Champignons","Lait, Poivrons, Crème fraîche, Champignons",Lait
Coquilles Saint-Jacques,"Oeufs, Crème fraîche, Chocolat noir, Moutarde, Champignons, Beurre","Oeufs, Crème fraîche, Chocolat noir, Moutarde, Champignons, Beurre","Moutarde, Oeufs, Lait"
Raclette,"Noix de cajou, Poulet, Pain","Noix de cajou, Poulet, Pain","Fruits à coque, Gluten"
Ratatouille,"Oeufs, Boeuf haché, Beurre, Vanille, Pain, Poivrons","Oeufs, Boeuf haché, Beurre, Vanille, Pain, Poivrons","Oeufs, Gluten, Lait"
Cassoulet,"Tomates, Sauce brune, Crème fraîche, Vanille, Céleri","Tomates, Sauce brune, Crème fraîche, Vanille, Céleri","Gluten, Lait, Céleri"
Omelette au fromage,"Boeuf haché, Sésame, Lait, Chocolat noir, Champignons","Boeuf haché, Sésame, Lait, Chocolat noir, Champignons","Graines de sésame, Lait"
Lasagne bolognaise,"Chocolat noir, Pommes de terre, Noix de cajou, Moutarde, Escargots","Chocolat noir, Pommes de terre, Noix de cajou, Moutarde, Escargots","Fruits à coque, Moutarde, Mollusques"
Coquilles Saint-Jacques,"Lait, Pommes de terre, Noix de cajou, Crème fraîche, Vanille","Lait, Pommes de terre, Noix de cajou, Crème fraîche, Vanille","Fruits à coque, Lait"
Crêpes sucrées,"Huile végétale, Tomates, Beurre, Sésame, Poisson","Huile végétale, Tomates, Beurre, Sésame, Poisson","Graines de sésame, Lait, Poisson"
Pain doré,"Farine de blé, Sauce brune, Poivrons, Pommes de terre, Pâtes alimentaires, Poisson","Farine de blé, Sauce brune, Poivrons, Pommes de terre, Pâtes alimentaires, Poisson","Gluten, Poisson"
Pot-au-feu,"Céleri, Arachides, Fromage en grains, Beurre, Pain","Céleri, Arachides, Fromage en grains, Beurre, Pain","Gluten, Arachides, Lait, Céleri"
Poulet à la crème,"Beurre, Oignons, Crème fraîche, Sésame","Beurre, Oignons, Crème fraîche, Sésame","Graines de sésame, Lait"
Chili con carne,"Arachides, Huile végétale, Pâtes alimentaires, Crevettes","Arachides, Huile végétale, Pâtes alimentaires, Crevettes","Gluten, Arachides, Crustacés"
Filet de saumon,"Champignons, Noix de cajou, Crème fraîche, Poisson, Sésame","Champignons, Noix de cajou, Crème fraîche, Poisson, Sésame","Fruits à coque, Graines de sésame, Lait, Poisson"
Fèves au lard,"Escargots, Moutarde, Crevettes","Escargots, Moutarde, Crevettes","Moutarde, Mollusques, Crustacés"
Soupe aux pois,"Sauce brune, Poulet, Sésame, Fromage en grains, Crème fraîche, Pâtes alimentaires","Sauce brune, Poulet, Sésame, Fromage en grains, Crème fraîche, Pâtes alimentaires","Gluten, Graines de sésame, Lait"
Coquilles Saint-Jacques,"Pâtes alimentaires, Beurre, Escargots, Fromage en grains, Carottes","Pâtes alimentaires, Beurre, Escargots, Fromage en grains, Carottes","Gluten, Lait, Mollusques"
Pain doré,"Céleri, Escargots, Sauce brune, Carottes, Oignons, Crevettes","Céleri, Escargots, Sauce brune, Carottes, Oignons, Crevettes","Gluten, Mollusques, Céleri, Crustacés"
Coquilles Saint-Jacques,"Sauce soja, Arachides, Beurre","Sauce soja, Arachides, Beurre","Arachides, Lait, Soja"
Tarte au sucre,"Carottes, Vanille, Pain, Beurre, Tomates, Escargots","Carottes, Vanille, Pain, Beurre, Tomates, Escargots","Gluten, Lait, Mollusques"
Lasagne bolognaise,"Escargots, Chocolat noir, Noix de cajou, Sauce soja, Pommes de terre, Huile végétale","Escargots, Chocolat noir, Noix de cajou, Sauce soja, Pommes de terre, Huile végétale","Fruits à coque, Mollusques, Soja"
Ratatouille,"Farine de blé, Moutarde, Noisettes, Pommes de terre","Farine de blé, Moutarde, Noisettes, Pommes de terre","Moutarde, Gluten, Fruits à coque"
Boeuf bourguignon,"Fromage en grains, Boeuf haché, Oignons","Fromage en grains, Boeuf haché, Oignons",Lait
Omelette au fromage,"Boeuf haché, Crème fraîche, Carottes","Boeuf haché, Crème fraîche, Carottes",Lait
Profiteroles,"Poisson, Escargots, Pommes de terre, Oeufs","Poisson, Escargots, Pommes de terre, Oeufs","Oeufs, Mollusques, Poisson"
Magret de canard,"Moutarde, Beurre, Pain, Fromage en grains","Moutarde, Beurre, Pain, Fromage en grains","Moutarde, Gluten, Lait"
Croque-monsieur,"Sésame, Boeuf haché, Lait, Crevettes, Huile végétale, Fromage en grains","Sésame, Boeuf haché, Lait, Crevettes, Huile végétale, Fromage en grains","Graines de sésame, Lait, Crustacés"
Profiteroles,"Huile végétale, Crème fraîche, Champignons, Céleri","Huile végétale, Crème fraîche, Champignons, Céleri","Lait, Céleri"
Boeuf stroganoff,"Poivrons, Crevettes, Vanille, Carottes, Beurre","Poivrons, Crevettes, Vanille, Carottes, Beurre","Lait, Crustacés"
Rôti de porc,"Chocolat noir, Moutarde, Pain, Vanille, Oignons, Pommes de terre","Chocolat noir, Moutarde, Pain, Vanille, Oignons, Pommes de terre","Moutarde, Gluten"
Filet de saumon,"Huile végétale, Escargots, Chocolat noir","Huile végétale, Escargots, Chocolat noir",Mollusques
Rôti de porc,"Lait, Sauce soja, Tomates, Champignons, Crevettes","Lait, Sauce soja, Tomates, Champignons, Crevettes","Lait, Crustacés, Soja"
Pain doré,"Beurre, Noix de cajou, Farine de blé, Pain, Escargots, Pommes de terre","Beurre, Noix de cajou, Farine de blé, Pain, Escargots, Pommes de terre","Fruits à coque, Gluten, Lait, Mollusques"
Spaghetti carbonara,"Sauce brune, Pommes de terre, Fromage en grains, Champignons, Sauce soja","Sauce brune, Pommes de terre, Fromage en grains, Champignons, Sauce soja","Gluten, Lait, Soja"
Boeuf stroganoff,"Sauce brune, Lait, Noisettes, Céleri, Oeufs","Sauce brune, Lait, Noisettes, Céleri, Oeufs","Fruits à coque, Oeufs, Céleri, Lait, Gluten"
Poulet à la crème,"Huile végétale, Vanille, Céleri, Beurre","Huile végétale, Vanille, Céleri, Beurre","Lait, Céleri"
Pâté chinois,"Tomates, Beurre, Farine de blé, Sésame, Champignons","Tomates, Beurre, Farine de blé, Sésame, Champignons","Gluten, Graines de sésame, Lait"
Rôti de porc,"Moutarde, Boeuf haché, Tomates, Fromage en grains, Escargots, Chocolat noir","Moutarde, Boeuf haché, Tomates, Fromage en grains, Escargots, Chocolat noir","Moutarde, Lait, Mollusques"
Macarons,"Tomates, Lait, Boeuf haché","Tomates, Lait, Boeuf haché",Lait
Macarons,"Vanille, Crème fraîche, Moutarde, Boeuf haché","Vanille, Crème fraîche, Moutarde, Boeuf haché","Moutarde, Lait"
Lasagne bolognaise,"Huile végétale, Escargots, Céleri, Sauce soja","Huile végétale, Escargots, Céleri, Sauce soja","Mollusques, Céleri, Soja"
Crème brûlée,"Carottes, Pommes de terre, Chocolat noir, Noisettes, Céleri","Carottes, Pommes de terre, Chocolat noir, Noisettes, Céleri","Fruits à coque, Céleri"
Boeuf stroganoff,"Crevettes, Pommes de terre, Sauce soja, Pâtes alimentaires, Oignons, Champignons","Crevettes, Pommes de terre, Sauce soja, Pâtes alimentaires, Oignons, Champignons","Gluten, Soja, Crustacés"
Moules-frites,"Noix de cajou, Oignons, Huile végétale, Sauce brune","Noix de cajou, Oignons, Huile végétale, Sauce brune","Fruits à coque, Gluten"
Gâteau au chocolat,"Poisson, Fromage en grains, Poivrons, Sauce soja, Pain","Poisson, Fromage en grains, Poivrons, Sauce soja, Pain","Gluten, Lait, Soja, Poisson"
Spaghetti carbonara,"Beurre, Moutarde, Lait, Céleri, Oignons","Beurre, Moutarde, Lait, Céleri, Oignons","Moutarde, Lait, Céleri"
Saucisses et purée,"Oignons, Sésame, Sauce brune, Boeuf haché","Oignons, Sésame, Sauce brune, Boeuf haché","Gluten, Graines de sésame"
Boeuf bourguignon,"Vanille, Sauce brune, Oignons, Poivrons, Escargots","Vanille, Sauce brune, Oignons, Poivrons, Escargots","Gluten, Mollusques"
Pain doré,"Beurre, Farine de blé, Noisettes, Céleri, Poivrons, Chocolat noir","Beurre, Farine de blé, Noisettes, Céleri, Poivrons, Chocolat noir","Fruits à coque, Gluten, Lait, Céleri"
Salade César,"Escargots, Beurre, Pommes de terre, Pâtes alimentaires","Escargots, Beurre, Pommes de terre, Pâtes alimentaires","Gluten, Lait, Mollusques"
Tourtière,"Tomates, Fromage en grains, Crevettes, Pommes de terre","Tomates, Fromage en grains, Crevettes, Pommes de terre","Lait, Crustacés"
Omelette au fromage,"Pâtes alimentaires, Oeufs, Crème fraîche, Escargots","Pâtes alimentaires, Oeufs, Crème fraîche, Escargots","Gluten, Lait, Mollusques, Oeufs"
Boeuf stroganoff,"Sauce brune, Céleri, Carottes, Pommes de terre","Sauce brune, Céleri, Carottes, Pommes de terre","Gluten, Céleri"
Crème brûlée,"Carottes, Sauce brune, Boeuf haché, Fromage en grains","Carottes, Sauce brune, Boeuf haché, Fromage en grains","Gluten, Lait"
Crème brûlée,"Poulet, Noix de cajou, Sauce brune, Beurre, Tomates, Carottes","Poulet, Noix de cajou, Sauce brune, Beurre, Tomates, Carottes","Fruits à coque, Gluten, Lait"
Chili con carne,"Noisettes, Escargots, Huile végétale, Poivrons, Sauce brune","Noisettes, Escargots, Huile végétale, Poivrons, Sauce brune","Fruits à coque, Gluten, Mollusques"
Boeuf bourguignon,"Lait, Crème fraîche, Carottes, Huile végétale, Crevettes","Lait, Crème fraîche, Carottes, Huile végétale, Crevettes","Lait, Crustacés"
Omelette au fromage,"Crevettes, Tomates, Moutarde","Crevettes, Tomates, Moutarde","Moutarde, Crustacés"
Ratatouille,"Crème fraîche, Poisson, Pain, Oignons, Sésame","Crème fraîche, Poisson, Pain, Oignons, Sésame","Gluten, Graines de sésame, Lait, Poisson"
Moules-frites,"Poivrons, Sésame, Lait, Fromage en grains, Crevettes","Poivrons, Sésame, Lait, Fromage en grains, Crevettes","Graines de sésame, Lait, Crustacés"
Chili con carne,"Poisson, Sauce soja, Beurre, Poivrons","Poisson, Sauce soja, Beurre, Poivrons","Lait, Soja, Poisson"
Omelette au fromage,"Escargots, Sauce soja, Huile végétale, Vanille","Escargots, Sauce soja, Huile végétale, Vanille","Mollusques, Soja"
Poutine classique,"Champignons, Poulet, Poisson","Champignons, Poulet, Poisson",Poisson
Spaghetti carbonara,"Noisettes, Poivrons, Céleri","Noisettes, Poivrons, Céleri","Fruits à coque, Céleri"
Boeuf bourguignon,"Tomates, Céleri, Escargots, Poisson, Oignons, Champignons","Tomates, Céleri, Escargots, Poisson, Oignons, Champignons","Mollusques, Céleri, Poisson"
Macarons,"Pâtes alimentaires, Pain, Crevettes, Sauce brune, Beurre, Boeuf haché","Pâtes alimentaires, Pain, Crevettes, Sauce brune, Beurre, Boeuf haché","Gluten, Lait, Crustacés"
Salade niçoise,"Tomates, Poulet, Pommes de terre, Pain","Tomates, Poulet, Pommes de terre, Pain",Gluten
Magret de canard,"Oeufs, Fromage en grains, Poulet","Oeufs, Fromage en grains, Poulet","Oeufs, Lait"
Soupe aux pois,"Arachides, Fromage en grains, Poisson","Arachides, Fromage en grains, Poisson","Arachides, Lait, Poisson"
Poutine classique,"Vanille, Pain, Farine de blé, Champignons, Pâtes alimentaires","Vanille, Pain, Farine de blé, Champignons, Pâtes alimentaires",Gluten
Soupe aux pois,"Moutarde, Carottes, Noisettes, Tomates, Arachides","Moutarde, Carottes, Noisettes, Tomates, Arachides","Moutarde, Arachides, Fruits à coque"
Éclair au café,"Poivrons, Boeuf haché, Noisettes, Oignons, Pâtes alimentaires","Poivrons, Boeuf haché, Noisettes, Oignons, Pâtes alimentaires","Fruits à coque, Gluten"
Éclair au café,"Moutarde, Pâtes alimentaires, Carottes, Poulet","Moutarde, Pâtes alimentaires, Carottes, Poulet","Moutarde, Gluten"
Escargots à l'ail,"Beurre, Boeuf haché, Crevettes, Poivrons, Pommes de terre, Crème fraîche","Beurre, Boeuf haché, Crevettes, Poivrons, Pommes de terre, Crème fraîche","Lait, Crustacés"
Poulet rôti,"Sésame, Fromage en grains, Pâtes alimentaires, Vanille, Noisettes, Pain","Sésame, Fromage en grains, Pâtes alimentaires, Vanille, Noisettes, Pain","Fruits à coque, Gluten, Graines de sésame, Lait"
Croque-monsieur,"Sauce brune, Lait, Carottes","Sauce brune, Lait, Carottes","Gluten, Lait"
Quiche lorraine,"Fromage en grains, Céleri, Tomates, Arachides, Poulet, Crème fraîche","Fromage en grains, Céleri, Tomates, Arachides, Poulet, Crème fraîche","Arachides, Lait, Céleri"
Soupe aux pois,"Poivrons, Crevettes, Pâtes alimentaires","Poivrons, Crevettes, Pâtes alimentaires","Gluten, Crustacés"
Chili con carne,"Tomates, Poisson, Oignons, Huile végétale, Boeuf haché","Tomates, Poisson, Oignons, Huile végétale, Boeuf haché",Poisson
Gâteau au chocolat,"Sauce brune, Oeufs, Lait","Sauce brune, Oeufs, Lait","Gluten, Lait, Oeufs"
Poulet à la crème,"Poivrons, Sauce soja, Sauce brune, Pain","Poivrons, Sauce soja, Sauce brune, Pain","Gluten, Soja"
Filet de saumon,"Champignons, Céleri, Noix de cajou, Crevettes, Beurre","Champignons, Céleri, Noix de cajou, Crevettes, Beurre","Fruits à coque, Lait, Céleri, Crustacés"
Quiche lorraine,"Pain, Carottes, Champignons","Pain, Carottes, Champignons",Gluten
Raclette,"Vanille, Carottes, Pommes de terre, Huile végétale, Tomates, Crevettes","Vanille, Carottes, Pommes de terre, Huile végétale, Tomates, Crevettes",Crustacés
Filet de saumon,"Chocolat noir, Champignons, Poulet, Crevettes","Chocolat noir, Champignons, Poulet, Crevettes",Crustacés
Salade niçoise,"Arachides, Oignons, Oeufs","Arachides, Oignons, Oeufs","Oeufs, Arachides"
Filet de saumon,"Boeuf haché, Sésame, Lait","Boeuf haché, Sésame, Lait","Graines de sésame, Lait"
Salade niçoise,"Noix de cajou, Céleri, Pâtes alimentaires, Sauce soja, Beurre, Chocolat noir","Noix de cajou, Céleri, Pâtes alimentaires, Sauce soja, Beurre, Chocolat noir","Fruits à coque, Céleri, Soja, Lait, Gluten"
Salade César,"Oeufs, Huile végétale, Poulet, Champignons, Boeuf haché, Sauce brune","Oeufs, Huile végétale, Poulet, Champignons, Boeuf haché, Sauce brune","Oeufs, Gluten"
Lasagne bolognaise,"Vanille, Crème fraîche, Escargots, Poulet, Poivrons, Sauce brune","Vanille, Crème fraîche, Escargots, Poulet, Poivrons, Sauce brune","Gluten, Lait, Mollusques"
Omelette au fromage,"Farine de blé, Sésame, Boeuf haché, Moutarde, Pain, Crevettes","Farine de blé, Sésame, Boeuf haché, Moutarde, Pain, Crevettes","Moutarde, Gluten, Graines de sésame, Crustacés"
Profiteroles,"Sauce brune, Champignons, Arachides, Crevettes, Pain, Poisson","Sauce brune, Champignons, Arachides, Crevettes, Pain, Poisson","Gluten, Arachides, Poisson, Crustacés"
Poulet à la crème,"Poisson, Poulet, Sésame, Chocolat noir, Poivrons","Poisson, Poulet, Sésame, Chocolat noir, Poivrons","Graines de sésame, Poisson"
Moules-frites,"Crevettes, Sauce soja, Tomates, Pommes de terre, Oeufs, Lait","Crevettes, Sauce soja, Tomates, Pommes de terre, Oeufs, Lait","Oeufs, Lait, Soja, Crustacés"
Poutine classique,"Poisson, Crevettes, Moutarde","Poisson, Crevettes, Moutarde","Moutarde, Crustacés, Poisson"
Saucisses et purée,"Pain, Céleri, Vanille, Poisson, Farine de blé","Pain, Céleri, Vanille, Poisson, Farine de blé","Gluten, Céleri, Poisson"
Soupe à l'oignon,"Pommes de terre, Pâtes alimentaires, Poivrons, Sauce soja, Beurre","Pommes de terre, Pâtes alimentaires, Poivrons, Sauce soja, Beurre","Gluten, Lait, Soja"
Gâteau au chocolat,"Céleri, Pommes de terre, Oeufs, Boeuf haché, Arachides","Céleri, Pommes de terre, Oeufs, Boeuf haché, Arachides","Oeufs, Arachides, Céleri"
Crème brûlée,"Moutarde, Huile végétale, Boeuf haché","Moutarde, Huile végétale, Boeuf haché",Moutarde
Fèves au lard,"Pommes de terre, Chocolat noir, Escargots, Lait, Noix de cajou, Oignons","Pommes de terre, Chocolat noir, Escargots, Lait, Noix de cajou, Oignons","Fruits à coque, Lait, Mollusques"
Crêpes sucrées,"Chocolat noir, Sésame, Boeuf haché, Moutarde, Crevettes, Oeufs","Chocolat noir, Sésame, Boeuf haché, Moutarde, Crevettes, Oeufs","Moutarde, Oeufs, Graines de sésame, Crustacés"
Pizza au fromage,"Sauce brune, Oignons, Crevettes, Beurre, Noix de cajou","Sauce brune, Oignons, Crevettes, Beurre, Noix de cajou","Fruits à coque, Gluten, Lait, Crustacés"
Pâté chinois,"Sésame, Pâtes alimentaires, Tomates, Chocolat noir, Beurre","Sésame, Pâtes alimentaires, Tomates, Chocolat noir, Beurre","Gluten, Graines de sésame, Lait"
Boeuf bourguignon,"Huile végétale, Carottes, Arachides, Poisson","Huile végétale, Carottes, Arachides, Poisson","Arachides, Poisson"
Crêpes sucrées,"Moutarde, Beurre, Poisson, Arachides","Moutarde, Beurre, Poisson, Arachides","Moutarde, Arachides, Lait, Poisson"
Escargots à l'ail,"Oeufs, Crème fraîche, Pommes de terre, Oignons","Oeufs, Crème fraîche, Pommes de terre, Oignons","Oeufs, Lait"
Éclair au café,"Sauce soja, Vanille, Pommes de terre, Chocolat noir, Sésame, Carottes","Sauce soja, Vanille, Pommes de terre, Chocolat noir, Sésame, Carottes","Graines de sésame, Soja"
Moules-frites,"Tomates, Fromage en grains, Moutarde, Sésame, Sauce soja, Lait","Tomates, Fromage en grains, Moutarde, Sésame, Sauce soja, Lait","Moutarde, Graines de sésame, Lait, Soja"
